"TIME","COICOP","COICOP_LABEL","UNIT","GEO","Value","Flag and Footnotes"
"2009","CP11","Restaurants and hotels","Current prices, million euro","European Union - 27 countries (from 2019)","466,532.6",""
"2009","CP11","Restaurants and hotels","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","474,619.3",""
"2009","CP111","Catering services","Percentage of total","European Union - 27 countries (from 2019)","6.6",""
"2009","CP111","Catering services","Current prices, million euro","European Union - 27 countries (from 2019)","383,871.0",""
"2009","CP111","Catering services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","390,391.3",""
"2009","CP112","Accommodation services","Percentage of total","European Union - 27 countries (from 2019)","1.4",""
"2009","CP112","Accommodation services","Current prices, million euro","European Union - 27 countries (from 2019)","82,661.6",""
"2009","CP112","Accommodation services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","84,225.4",""
"2009","CP12","Miscellaneous goods and services","Percentage of total","European Union - 27 countries (from 2019)","11.1",""
"2009","CP12","Miscellaneous goods and services","Current prices, million euro","European Union - 27 countries (from 2019)","647,519.8",""
"2009","CP12","Miscellaneous goods and services","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","664,060.1",""
"2009","CP121","Personal care","Percentage of total","European Union - 27 countries (from 2019)","2.3",""
"2009","CP121","Personal care","Current prices, million euro","European Union - 27 countries (from 2019)","134,559.5",""
"2009","CP121","Personal care","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","136,859.3",""
"2009","CP122_127","Prostitution; other services n.e.c.","Percentage of total","European Union - 27 countries (from 2019)","1.6",""
"2009","CP122_127","Prostitution; other services n.e.c.","Current prices, million euro","European Union - 27 countries (from 2019)","95,868.6",""
"2009","CP122_127","Prostitution; other services n.e.c.","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","97,793.8",""
"2009","CP122","Prostitution","Percentage of total","European Union - 27 countries (from 2019)",":",""
"2009","CP122","Prostitution","Current prices, million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP122","Prostitution","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)",":",""
"2009","CP123","Personal effects n.e.c.","Percentage of total","European Union - 27 countries (from 2019)","0.8",""
"2009","CP123","Personal effects n.e.c.","Current prices, million euro","European Union - 27 countries (from 2019)","48,156.4",""
"2009","CP123","Personal effects n.e.c.","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","50,661.8",""
"2009","CP124","Social protection","Percentage of total","European Union - 27 countries (from 2019)","1.2",""
"2009","CP124","Social protection","Current prices, million euro","European Union - 27 countries (from 2019)","70,763.8",""
"2009","CP124","Social protection","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","73,404.2",""
"2009","CP125","Insurance","Percentage of total","European Union - 27 countries (from 2019)","2.7",""
"2009","CP125","Insurance","Current prices, million euro","European Union - 27 countries (from 2019)","158,138.4",""
"2009","CP125","Insurance","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","165,512.0",""
"2009","CP126","Financial services n.e.c.","Percentage of total","European Union - 27 countries (from 2019)","2.4",""
"2009","CP126","Financial services n.e.c.","Current prices, million euro","European Union - 27 countries (from 2019)","140,008.0",""
"2009","CP126","Financial services n.e.c.","Chain linked volumes (2010), million euro","European Union - 27 countries (from 2019)","139,917.0",""
"2009","CP127","Other services n.e.c.","Percentage of total","European Union - 27 countries (from 2019)",":",""
